"Group_Station_ID","FDT_STA_ID","STA_DESC","Deq_Region","STA_REC_CODE","FDT_DATE_TIME","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_SSC_CODE","FDT_SPG_CODE","FDT_COMMENT","pH_00400_STD_UNITS","FDT_FIELD_PH_RMK","TEMPERATURE_00010_DEGREES CENTIGRADE","FDT_TEMP_CELCIUS_RMK","DO_mg/L","DO_RMK","DISSOLVED_OXYGEN_00300_mg/L","FDT_DO_PROBE_RMK","DISSOLVED_OXYGEN_DOOPT_mg/L","FDT_DO_OPTICAL_RMK","DISSOLVED_OXYGEN_WINK_mg/L","FDT_DO_WINKLER_RMK","SPECIFIC_CONDUCTANCE_00095_UMHOS/CM @ 25C","FDT_SPECIFIC_CONDUCTANCE_RMK","SALINITY_00480_PPT","FDT_SALINITY_RMK","NITROGEN_mg/L","RMK_NITROGEN","AMMONIA_mg/L","RMK_AMMONIA","NITRATE_mg/L","RMK_NITRATE","NOX_mg/L","RMK_NOX","NITROGEN_TOTAL_00600_mg/L","RMK_00600","NITROGEN_AMMONIA_DISSOLVED_00608_mg/L","RMK_00608","NITROGEN_AMMONIA_TOTAL_00610_mg/L","RMK_00610","NITROGEN_NITRITE_DISSOLVED_00613_mg/L","RMK_00613","NITROGEN_NITRITE_TOTAL_00615_mg/L","RMK_00615","NITROGEN_NITRATE_DISSOLVED_00618_mg/L","RMK_00618","NITROGEN_NITRATE_TOTAL_00620_mg/L","RMK_00620","NITROGEN_KJELDAHL_TOTAL_00625_mg/L","RMK_00625","NITRITE+NITRATE_TOTAL_00630_mg/L","RMK_00630","NITRITE+NITRATE_DISSOLVED_00631_mg/L","RMK_00631","NITROGEN_PARTICULATE_49570_mg/L","RMK_49570","NITROGEN_TOTAL_DISSOLVED_49571_mg/L","RMK_49571","NITROGEN_TOTAL_DISSOLVED_TDNLF_mg/L","RMK_TDNLF","PHOSPHORUS_mg/L","RMK_PHOSPHORUS","PHOSPHORUS_TOTAL_00665_mg/L","RMK_00665","PHOSPHORUS_DISSOLVED_00666_mg/L","RMK_00666","PHOSPHORUS_DISSOLVED_ORTHOPHOSPHATE_00671_mg/L","RMK_00671","PHOSPHOROUS_PARTICULATE_49567_mg/L","RMK_49567","PHOSPHOROUS_TOTAL_DISSOLVED_49572_mg/L","RMK_49572","PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg/L","RMK_70507","ORTHOPHOSPHATE_DISSOLVED_OPWLF_mg/L","RMK_OPWLF","PHOSPHORUS_SUSPENDED_INORGANIC_PIPLF_mg/L","RMK_PIPLF","PHOSPHORUS_PARTICULATE_PPWLF_mg/L","RMK_PPWLF","PHOSPHORUS_TOTAL_DISSOLVED_TDPLF_mg/L","RMK_TDPLF","HARDNESS_TOTAL_00900_mg/L","RMK_00900","CHLORIDE_mg/L","RMK_CHLORIDE","CHLORIDE_TOTAL_00940_mg/L","RMK_00940","CHLORIDE_DISSOLVED_00941_mg/L","RMK_00941","SULFATE_mg/L","RMK_SULFATE","SULFATE_TOTAL_00945_mg/L","RMK_00945","SULFATE_DISSOLVED_00946_mg/L","RMK_00946","ECOLI_CFU/100mL","ECOLI_RMK","E.COLI_ECOLI_CFU/100mL","RMK_ECOLI","E._COLI_31648_NO/100mL","RMK_31648","ENTEROCOCCI_31649_NO/100mL","RMK_31649","FECAL_COLIFORM_31616_NO/100mL","RMK_31616","CHLOROPHYLL_32211_ug/L","RMK_32211","TSS_mg/L","RMK_TSS","TOTAL_SUSPENDED_SOLIDS_00530_mg/L","RMK_00530","SSC-TOTAL_00530_mg/L","RMK_SSC-TOTAL","TOTAL_SUSPENDED_SOLIDS_TSS45_mg/L","RMK_TSS45","Latitude","Longitude","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Vahu5","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu6","STA_LV1_CODE","LV1_DESCRIPTION","STA_LV2_CODE","LV2_DESCRIPTION","STA_LV3_CODE","LV3_DESCRIPTION","STA_CBP_NAME","Locality","Group","TDS_mgl","Ammonium_mgl_N","Ammonium_Method","Chlorophyll_Total_ug_L","Phaeophytin_ug_L","Turbidity NTU","Secchi Depth m","Transparency_cm","TVSS_mgl","TVSS_method","FSS_mgl","Alkalinity_mgl_CaCO3","Color (Pt-Co units)","Color method","ORP mV","Turbidity FAU","Bromide II ng/L","Bromide level status","Copper II mg/L","Copper Level Status","Chromium VI mg/L","Chromium Level Status","Selenium_ug/L","Selenium Level Status","Tide_Stage","Water_Surface","Stream_Flow","Stream_Depth_m","QAQC_Comments","DEQ QA Comments"
"1.2","4AROA-1-2-FC",NA,NA,"BRRO","7/31/18 00:00:00",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.21915,-79.7959,"03010101","Upper Roanoke",NA,NA,NA,"Lynville Creek","RU16",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Franklin","Smith Mountain Lake Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.2","4AROA-1-2-FC",NA,NA,"BRRO","8/14/18 00:00:00",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.1,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.21915,-79.7959,"03010101","Upper Roanoke",NA,NA,NA,"Lynville Creek","RU16",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Franklin","Smith Mountain Lake Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","1/25/13 11:08:00",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.764,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","2/08/13 14:28:00",0.3,NA,NA,NA,NA,NA,NA,NA,6,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","3/08/13 15:12:00",0.3,NA,NA,NA,NA,NA,8.42,"Level III",8.1,"Level III",NA,NA,12.37,"Level III",NA,NA,NA,NA,583,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.702,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","4/05/13 11:13:00",0.3,NA,NA,NA,NA,"After removing the samples from the cooler and putting them on a tray, monitor neglected to put the tray of samples into the refrigerator.",NA,NA,9,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,584,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.417,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","4/19/13",0.3,NA,NA,NA,NA,NA,NA,NA,17,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.868,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitrateDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","5/17/13 13:25:00",0.3,NA,NA,NA,NA,NA,8.33,"Level III",18.3,"Level III",NA,NA,9.53,"Level III",NA,NA,NA,NA,585,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10/ Ammonia QC check standards exceeded maximum limit",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","6/07/13 14:20:00",0.3,NA,NA,NA,NA,"Decomp/slight brown tint",NA,NA,16,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,529,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.481,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","6/21/13 12:36:00",0.3,NA,NA,NA,NA,"Decomp/Algae",8.12,"Level III",18,"Level III",NA,NA,9.1,"Level III",NA,NA,NA,NA,588,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.266,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","7/12/13 12:16:00",0.3,NA,NA,NA,NA,"Tiny air bubble/Decomp/Al/Silt/Monitor collected sample from above bridge because normal collection site was inaccessible",8.15,"Level III",19.7,"Level III",NA,NA,8.47,"Level III",NA,NA,NA,NA,545,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.048,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10/ Due to heavy rain discoloration of samples may have an effect on ammonia detection causing a false higher ammonia reading.",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","7/26/13 13:38:00",0.3,NA,NA,NA,NA,"Trace",8.24,"Level III",19.4,"Level III",NA,NA,8.55,"Level III",NA,NA,NA,NA,549,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.186,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","8/23/13 12:00:00",0.3,NA,NA,NA,NA,"Tiny bubble/Decomp, Al",NA,NA,19,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.663,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","9/13/13 14:20:00",0.3,NA,NA,NA,NA,"Trace decomp",NA,NA,19,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,544,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.806,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","9/27/13 11:55:00",0.3,NA,NA,NA,NA,NA,NA,NA,13,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,545,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.753,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10/ Ammonia  or = .01",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","10/11/13 18:43:00",0.3,NA,NA,NA,NA,NA,NA,NA,13,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.107,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC samples delivered to FOSR lab after conductivity and turbidity had been completed",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","11/08/13 13:40:00",0.3,NA,NA,NA,NA,NA,NA,NA,8,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,592,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.909,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10/ Possible spike interference with peak integration/ Ammonia  or = 0.01",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","12/13/13 10:57:00",0.3,NA,NA,NA,NA,NA,NA,NA,2,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.827,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
"FC06","1BDGR-FC06-FOSR","At Route 621 Bridge",NA,"VRO","1/10/14 14:04:00",0.3,NA,NA,NA,NA,NA,NA,NA,5,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,608,"Level I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.968,"Level III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1053,-77.923,"02070007","Shenandoah",NA,NA,NA,"Dog Run","PS85",NA,NA,NA,NA,"CMON","Citizen Monitoring",NA,"Clarke","Friends of the Shenandoah River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NitDilx10",NA
